Firstbeat SPORTS Version 4.7.3.1
Start time: 19.11.2024 09:10:17
RR;Artifact corrected RR;Raw artifact;
672;672;0;
646;646;0;
652;652;0;
659;659;0;
698;698;0;
654;654;0;
642;642;0;
633;633;0;
631;631;0;
636;636;0;
647;647;0;
636;636;0;
641;641;0;
657;657;0;
676;676;0;
710;710;0;
699;699;0;
644;644;0;
661;661;0;
900;900;1;
792;792;0;
685;685;0;
697;697;0;
717;717;0;
731;731;0;
726;726;0;
722;722;0;
719;719;0;
730;730;0;
694;694;0;
708;708;0;
737;737;0;
708;708;0;
661;661;0;
648;648;0;
657;657;0;
760;760;0;
928;928;1;
874;874;0;
842;842;0;
817;817;0;
804;804;0;
767;767;0;
709;709;0;
689;689;0;
289;657;3;
368;735;0;
735;665;0;
665;667;0;
667;683;0;
683;723;0;
723;751;0;
751;746;0;
746;741;0;
741;679;0;
679;699;0;
699;683;0;
683;677;0;
677;700;0;
700;698;0;
698;720;0;
720;709;0;
709;646;0;
646;667;0;
667;663;0;
663;714;0;
714;728;2;
882;734;2;
581;732;0;
732;718;0;
718;695;0;
695;636;0;
636;632;0;
632;634;0;
634;665;0;
665;720;0;
720;870;1;
870;810;0;
810;808;0;
808;818;0;
818;825;0;
825;830;0;
830;825;0;
825;828;0;
828;788;0;
788;731;0;
731;756;0;
756;760;0;
760;784;0;
784;764;0;
764;807;0;
807;836;0;
836;833;0;
833;822;0;
822;726;0;
726;740;0;
740;773;0;
773;771;0;
771;765;0;
765;756;0;
756;800;0;
800;796;0;
796;703;0;
703;728;0;
728;706;0;
706;733;0;
733;700;0;
700;751;0;
751;850;0;
850;804;0;
804;740;0;
740;755;0;
755;747;0;
747;726;0;
726;652;0;
652;646;0;
646;640;0;
640;657;0;
657;643;0;
643;645;0;
645;675;0;
675;729;0;
729;796;0;
796;717;0;
717;728;0;
728;743;0;
743;743;0;
743;695;0;
695;711;0;
711;703;0;
703;702;0;
702;651;0;
651;636;0;
636;635;0;
635;656;0;
656;757;0;
757;817;0;
817;709;0;
709;707;0;
707;696;0;
696;696;0;
696;686;0;
686;660;0;
660;667;0;
667;682;0;
682;687;0;
687;664;0;
664;672;0;
672;665;0;
665;684;0;
684;649;0;
649;677;0;
677;708;0;
708;749;0;
749;673;0;
673;663;0;
663;634;0;
634;634;0;
634;683;0;
683;940;1;
940;820;0;
820;758;0;
758;688;0;
688;668;0;
668;673;0;
673;679;0;
679;726;0;
726;704;0;
704;675;0;
675;641;0;
641;623;0;
623;613;0;
613;610;0;
610;626;0;
626;633;0;
633;645;0;
645;607;0;
607;632;0;
632;625;0;
625;598;0;
598;628;0;
628;728;2;
645;793;2;
876;824;0;
824;750;0;
750;699;0;
699;682;0;
682;800;0;
800;783;0;
783;776;0;
776;737;0;
737;700;0;
700;666;0;
666;614;0;
614;612;0;
612;602;0;
602;619;0;
619;684;0;
684;732;0;
732;719;0;
719;681;0;
681;709;0;
709;791;0;
791;790;0;
790;745;0;
745;656;0;
656;651;0;
651;673;0;
673;676;0;
676;665;0;
665;642;0;
642;643;0;
643;654;0;
654;680;0;
680;716;0;
716;641;0;
641;679;0;
679;684;0;
684;732;0;
732;718;0;
718;657;0;
657;639;0;
639;629;0;
629;643;0;
643;688;0;
688;721;0;
721;727;0;
727;721;0;
721;745;0;
745;774;0;
774;758;0;
758;669;0;
669;653;0;
653;649;0;
649;665;0;
665;690;0;
690;709;0;
709;716;0;
716;706;0;
706;677;0;
677;700;0;
700;729;0;
729;746;0;
746;719;0;
719;663;0;
663;663;0;
663;671;0;
671;703;0;
703;655;0;
655;743;0;
743;657;0;
657;663;0;
663;652;0;
652;639;0;
639;623;0;
623;632;0;
632;640;0;
640;602;0;
602;635;0;
635;611;0;
611;623;0;
623;658;0;
658;640;0;
640;616;0;
616;622;0;
622;682;0;
682;780;0;
780;754;0;
754;772;0;
772;753;0;
753;732;0;
732;704;0;
704;676;0;
676;659;0;
659;654;0;
654;631;0;
631;630;0;
630;627;0;
627;625;0;
625;636;0;
636;660;0;
660;677;0;
677;680;0;
680;696;0;
696;637;0;
637;659;0;
659;688;0;
688;749;0;
749;817;0;
817;828;0;
828;809;0;
809;792;0;
792;729;0;
729;683;0;
683;637;0;
637;641;0;
641;624;0;
624;644;0;
644;669;0;
669;624;0;
624;638;0;
638;673;0;
673;799;0;
799;808;0;
808;721;0;
721;774;0;
774;742;0;
742;793;0;
793;784;0;
784;771;0;
771;704;0;
704;687;0;
687;679;0;
679;626;0;
626;615;0;
615;616;0;
616;612;0;
612;641;0;
641;628;0;
628;639;0;
639;659;0;
659;687;0;
687;714;0;
714;723;0;
723;665;0;
665;639;0;
639;635;0;
635;639;0;
639;675;0;
675;747;0;
747;727;0;
727;702;0;
702;682;0;
682;656;0;
656;613;0;
613;618;0;
618;606;0;
606;616;0;
616;619;0;
619;606;0;
606;607;0;
607;625;0;
625;604;0;
604;639;0;
639;656;0;
656;716;0;
716;739;0;
739;754;0;
754;710;0;
710;643;0;
643;642;0;
642;635;0;
635;660;0;
660;689;0;
689;722;0;
722;684;0;
684;692;0;
692;707;0;
707;758;0;
758;759;0;
759;691;0;
691;659;0;
659;656;0;
656;649;0;
649;658;0;
658;660;0;
660;654;0;
654;646;0;
646;649;0;
649;652;0;
652;645;0;
645;638;0;
638;639;0;
639;641;0;
641;645;0;
645;650;0;
650;655;0;
655;662;0;
662;640;0;
640;631;0;
631;653;0;
653;680;0;
680;783;0;
783;774;0;
774;746;0;
746;741;0;
741;711;0;
711;651;0;
651;651;0;
651;643;0;
643;664;0;
664;677;0;
677;693;0;
693;702;0;
702;701;0;
701;656;0;
656;632;0;
632;619;0;
619;616;0;
616;637;0;
637;908;1;
908;867;1;
867;786;0;
786;704;0;
704;742;0;
