participant_id,stim_id,video_id,belief,focus
1,1,4171487-uhd_3840_2160_30fps.mp4,Human Generated,2.0
1,2,5768645-uhd_3840_2160_25fps.mp4,Human Generated,4.0
1,3,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
1,4,11946387_3840_2160_30fps.mp4,AI Generated,4.0
2,1,4171487-uhd_3840_2160_30fps.mp4,Human Generated,4.0
2,2,11946387_3840_2160_30fps.mp4,AI Generated,5.0
2,3,5768645-uhd_3840_2160_25fps.mp4,Human Generated,4.0
2,4,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
3,1,4171487-uhd_3840_2160_30fps.mp4,Human Generated,3.0
3,2,11946387_3840_2160_30fps.mp4,AI Generated,2.0
3,3,18840567-hd_1920_1080_30fps.mp4,AI Generated,2.0
3,4,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3.0
4,1,4171487-uhd_3840_2160_30fps.mp4,Human Generated,2.0
4,2,18840567-hd_1920_1080_30fps.mp4,AI Generated,3.0
4,3,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3.0
4,4,11946387_3840_2160_30fps.mp4,AI Generated,5.0
5,1,4171487-uhd_3840_2160_30fps.mp4,Human Generated,3.0
5,2,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
5,3,11946387_3840_2160_30fps.mp4,AI Generated,5.0
5,4,5768645-uhd_3840_2160_25fps.mp4,Human Generated,2.0
6,1,5768645-uhd_3840_2160_25fps.mp4,Human Generated,4.0
6,2,4171487-uhd_3840_2160_30fps.mp4,Human Generated,4.0
6,3,11946387_3840_2160_30fps.mp4,AI Generated,5.0
6,4,18840567-hd_1920_1080_30fps.mp4,AI Generated,4.0
7,1,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3.0
7,2,4171487-uhd_3840_2160_30fps.mp4,Human Generated,3.0
7,3,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
7,4,11946387_3840_2160_30fps.mp4,AI Generated,5.0
8,1,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3.0
8,2,11946387_3840_2160_30fps.mp4,AI Generated,5.0
8,3,4171487-uhd_3840_2160_30fps.mp4,Human Generated,5.0
8,4,18840567-hd_1920_1080_30fps.mp4,AI Generated,4.0
10,1,5768645-uhd_3840_2160_25fps.mp4,Human Generated,5.0
10,2,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
10,3,4171487-uhd_3840_2160_30fps.mp4,Human Generated,4.0
10,4,11946387_3840_2160_30fps.mp4,AI Generated,5.0
11,1,5768645-uhd_3840_2160_25fps.mp4,Human Generated,5.0
11,2,18840567-hd_1920_1080_30fps.mp4,AI Generated,5.0
11,3,11946387_3840_2160_30fps.mp4,AI Generated,5.0
11,4,4171487-uhd_3840_2160_30fps.mp4,Human Generated,5.0
12,1,11946387_3840_2160_30fps.mp4,Human Generated,5.0
12,2,4171487-uhd_3840_2160_30fps.mp4,AI Generated,4.0
12,3,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4.0
12,4,18840567-hd_1920_1080_30fps.mp4,Human Generated,3.0
