Participant ID: 3
Start time: 2025-11-12 15:27:00
End time: 2025-11-12 15:41:00

RR,ArtifactCorrectedRR,RawArtifact,ts
788.0,1160,3,2025-11-12 15:27:00.000
372.0,880,0,2025-11-12 15:27:00.880
880.0,719,0,2025-11-12 15:27:01.599
719.0,629,0,2025-11-12 15:27:02.228
629.0,610,3,2025-11-12 15:27:02.838
355.0,616,3,2025-11-12 15:27:03.454
1300.0,623,3,2025-11-12 15:27:04.077
449.0,629,3,2025-11-12 15:27:04.706
364.0,635,3,2025-11-12 15:27:05.341
253.0,667,0,2025-11-12 15:27:06.008
393.0,664,3,2025-11-12 15:27:06.672
667.0,667,3,2025-11-12 15:27:07.339
535.0,670,3,2025-11-12 15:27:08.009
515.0,672,3,2025-11-12 15:27:08.681
357.0,675,3,2025-11-12 15:27:09.356
1359.0,678,3,2025-11-12 15:27:10.034
573.0,681,3,2025-11-12 15:27:10.715
1279.0,684,3,2025-11-12 15:27:11.399
418.0,687,3,2025-11-12 15:27:12.086
292.0,690,3,2025-11-12 15:27:12.776
571.0,693,3,2025-11-12 15:27:13.469
572.0,696,3,2025-11-12 15:27:14.165
269.0,699,3,2025-11-12 15:27:14.864
558.0,702,3,2025-11-12 15:27:15.566
365.0,705,3,2025-11-12 15:27:16.271
382.0,708,3,2025-11-12 15:27:16.979
710.0,717,0,2025-11-12 15:27:17.696
516.0,750,0,2025-11-12 15:27:18.446
516.0,760,3,2025-11-12 15:27:19.206
682.0,763,3,2025-11-12 15:27:19.969
502.0,766,3,2025-11-12 15:27:20.735
717.0,769,3,2025-11-12 15:27:21.504
750.0,772,3,2025-11-12 15:27:22.276
240.0,775,3,2025-11-12 15:27:23.051
485.0,778,3,2025-11-12 15:27:23.829
455.0,781,3,2025-11-12 15:27:24.610
538.0,784,3,2025-11-12 15:27:25.394
404.0,787,3,2025-11-12 15:27:26.181
431.0,790,3,2025-11-12 15:27:26.971
1472.0,793,3,2025-11-12 15:27:27.764
1096.0,796,3,2025-11-12 15:27:28.560
881.0,799,3,2025-11-12 15:27:29.359
1295.0,802,3,2025-11-12 15:27:30.161
578.0,805,3,2025-11-12 15:27:30.966
408.0,808,3,2025-11-12 15:27:31.774
473.0,804,0,2025-11-12 15:27:32.578
397.0,814,2,2025-11-12 15:27:33.392
276.0,778,2,2025-11-12 15:27:34.170
536.0,698,0,2025-11-12 15:27:34.868
361.0,702,3,2025-11-12 15:27:35.570
467.0,704,3,2025-11-12 15:27:36.274
447.0,705,3,2025-11-12 15:27:36.979
501.0,707,3,2025-11-12 15:27:37.686
529.0,709,3,2025-11-12 15:27:38.395
686.0,711,3,2025-11-12 15:27:39.106
377.0,710,0,2025-11-12 15:27:39.816
804.0,710,0,2025-11-12 15:27:40.526
1144.0,727,2,2025-11-12 15:27:41.253
448.0,727,2,2025-11-12 15:27:41.980
698.0,726,2,2025-11-12 15:27:42.706
400.0,726,2,2025-11-12 15:27:43.432
394.0,725,2,2025-11-12 15:27:44.157
500.0,724,2,2025-11-12 15:27:44.881
309.0,724,2,2025-11-12 15:27:45.605
267.0,723,2,2025-11-12 15:27:46.328
527.0,723,2,2025-11-12 15:27:47.051
327.0,722,2,2025-11-12 15:27:47.773
278.0,722,2,2025-11-12 15:27:48.495
1236.0,721,2,2025-11-12 15:27:49.216
710.0,720,2,2025-11-12 15:27:49.936
710.0,702,0,2025-11-12 15:27:50.638
320.0,692,2,2025-11-12 15:27:51.330
2214.0,690,2,2025-11-12 15:27:52.020
1071.0,696,0,2025-11-12 15:27:52.716
1461.0,687,0,2025-11-12 15:27:53.403
276.0,654,3,2025-11-12 15:27:54.057
904.0,690,0,2025-11-12 15:27:54.747
3165.0,697,0,2025-11-12 15:27:55.444
702.0,639,0,2025-11-12 15:27:56.083
627.0,664,3,2025-11-12 15:27:56.747
754.0,638,0,2025-11-12 15:27:57.385
696.0,619,0,2025-11-12 15:27:58.004
687.0,613,0,2025-11-12 15:27:58.617
363.0,641,0,2025-11-12 15:27:59.258
291.0,664,0,2025-11-12 15:27:59.922
690.0,670,0,2025-11-12 15:28:00.592
697.0,643,0,2025-11-12 15:28:01.235
639.0,645,0,2025-11-12 15:28:01.880
336.0,652,0,2025-11-12 15:28:02.532
328.0,658,0,2025-11-12 15:28:03.190
638.0,621,0,2025-11-12 15:28:03.811
619.0,636,0,2025-11-12 15:28:04.447
613.0,656,0,2025-11-12 15:28:05.103
641.0,682,0,2025-11-12 15:28:05.785
664.0,676,0,2025-11-12 15:28:06.461
670.0,732,3,2025-11-12 15:28:07.193
643.0,786,0,2025-11-12 15:28:07.979
645.0,694,0,2025-11-12 15:28:08.673
652.0,690,0,2025-11-12 15:28:09.363
658.0,660,0,2025-11-12 15:28:10.023
621.0,764,0,2025-11-12 15:28:10.787
636.0,778,0,2025-11-12 15:28:11.565
656.0,737,0,2025-11-12 15:28:12.302
682.0,743,0,2025-11-12 15:28:13.045
676.0,750,0,2025-11-12 15:28:13.795
461.0,758,0,2025-11-12 15:28:14.553
271.0,759,0,2025-11-12 15:28:15.312
786.0,759,0,2025-11-12 15:28:16.071
694.0,757,0,2025-11-12 15:28:16.828
690.0,757,0,2025-11-12 15:28:17.585
660.0,760,0,2025-11-12 15:28:18.345
764.0,758,0,2025-11-12 15:28:19.103
778.0,758,0,2025-11-12 15:28:19.861
737.0,753,0,2025-11-12 15:28:20.614
743.0,755,0,2025-11-12 15:28:21.369
750.0,754,0,2025-11-12 15:28:22.123
758.0,754,0,2025-11-12 15:28:22.877
759.0,756,0,2025-11-12 15:28:23.633
759.0,762,0,2025-11-12 15:28:24.395
757.0,763,0,2025-11-12 15:28:25.158
757.0,762,0,2025-11-12 15:28:25.920
760.0,759,0,2025-11-12 15:28:26.679
758.0,755,0,2025-11-12 15:28:27.434
758.0,762,0,2025-11-12 15:28:28.196
753.0,759,0,2025-11-12 15:28:28.955
755.0,757,0,2025-11-12 15:28:29.712
754.0,760,0,2025-11-12 15:28:30.472
754.0,762,0,2025-11-12 15:28:31.234
756.0,760,0,2025-11-12 15:28:31.994
762.0,765,0,2025-11-12 15:28:32.759
763.0,768,0,2025-11-12 15:28:33.527
762.0,767,0,2025-11-12 15:28:34.294
759.0,766,0,2025-11-12 15:28:35.060
755.0,768,0,2025-11-12 15:28:35.828
762.0,773,0,2025-11-12 15:28:36.601
759.0,774,0,2025-11-12 15:28:37.375
757.0,770,0,2025-11-12 15:28:38.145
760.0,772,0,2025-11-12 15:28:38.917
762.0,771,0,2025-11-12 15:28:39.688
760.0,772,0,2025-11-12 15:28:40.460
765.0,771,0,2025-11-12 15:28:41.231
768.0,773,0,2025-11-12 15:28:42.004
767.0,775,0,2025-11-12 15:28:42.779
766.0,777,0,2025-11-12 15:28:43.556
768.0,776,0,2025-11-12 15:28:44.332
773.0,780,0,2025-11-12 15:28:45.112
774.0,781,0,2025-11-12 15:28:45.893
770.0,778,0,2025-11-12 15:28:46.671
772.0,775,0,2025-11-12 15:28:47.446
771.0,776,0,2025-11-12 15:28:48.222
772.0,771,0,2025-11-12 15:28:48.993
771.0,770,0,2025-11-12 15:28:49.763
773.0,771,0,2025-11-12 15:28:50.534
775.0,774,0,2025-11-12 15:28:51.308
777.0,769,0,2025-11-12 15:28:52.077
776.0,771,0,2025-11-12 15:28:52.848
780.0,776,0,2025-11-12 15:28:53.624
781.0,783,0,2025-11-12 15:28:54.407
778.0,779,0,2025-11-12 15:28:55.186
775.0,775,0,2025-11-12 15:28:55.961
776.0,778,0,2025-11-12 15:28:56.739
771.0,780,0,2025-11-12 15:28:57.519
770.0,775,0,2025-11-12 15:28:58.294
771.0,772,0,2025-11-12 15:28:59.066
774.0,773,0,2025-11-12 15:28:59.839
769.0,771,0,2025-11-12 15:29:00.610
771.0,773,0,2025-11-12 15:29:01.383
776.0,777,0,2025-11-12 15:29:02.160
783.0,778,0,2025-11-12 15:29:02.938
779.0,780,0,2025-11-12 15:29:03.718
775.0,773,0,2025-11-12 15:29:04.491
778.0,773,0,2025-11-12 15:29:05.264
780.0,766,0,2025-11-12 15:29:06.030
775.0,761,0,2025-11-12 15:29:06.791
772.0,760,0,2025-11-12 15:29:07.551
773.0,762,0,2025-11-12 15:29:08.313
771.0,761,0,2025-11-12 15:29:09.074
773.0,687,0,2025-11-12 15:29:09.761
777.0,695,0,2025-11-12 15:29:10.456
778.0,700,0,2025-11-12 15:29:11.156
780.0,706,0,2025-11-12 15:29:11.862
773.0,688,0,2025-11-12 15:29:12.550
773.0,718,0,2025-11-12 15:29:13.268
766.0,790,0,2025-11-12 15:29:14.058
761.0,812,0,2025-11-12 15:29:14.870
760.0,769,0,2025-11-12 15:29:15.639
762.0,771,0,2025-11-12 15:29:16.410
761.0,766,0,2025-11-12 15:29:17.176
687.0,774,0,2025-11-12 15:29:17.950
695.0,785,0,2025-11-12 15:29:18.735
700.0,795,0,2025-11-12 15:29:19.530
706.0,811,0,2025-11-12 15:29:20.341
688.0,829,0,2025-11-12 15:29:21.170
718.0,846,0,2025-11-12 15:29:22.016
790.0,834,0,2025-11-12 15:29:22.850
812.0,832,0,2025-11-12 15:29:23.682
769.0,832,0,2025-11-12 15:29:24.514
771.0,827,0,2025-11-12 15:29:25.341
766.0,826,0,2025-11-12 15:29:26.167
774.0,811,0,2025-11-12 15:29:26.978
785.0,792,0,2025-11-12 15:29:27.770
795.0,783,0,2025-11-12 15:29:28.553
811.0,788,0,2025-11-12 15:29:29.341
829.0,795,0,2025-11-12 15:29:30.136
846.0,800,0,2025-11-12 15:29:30.936
834.0,803,0,2025-11-12 15:29:31.739
832.0,812,0,2025-11-12 15:29:32.551
832.0,815,0,2025-11-12 15:29:33.366
827.0,816,0,2025-11-12 15:29:34.182
826.0,815,0,2025-11-12 15:29:34.997
811.0,819,0,2025-11-12 15:29:35.816
792.0,825,0,2025-11-12 15:29:36.641
783.0,828,0,2025-11-12 15:29:37.469
788.0,838,0,2025-11-12 15:29:38.307
795.0,848,0,2025-11-12 15:29:39.155
800.0,847,0,2025-11-12 15:29:40.002
803.0,847,0,2025-11-12 15:29:40.849
812.0,853,0,2025-11-12 15:29:41.702
815.0,855,0,2025-11-12 15:29:42.557
816.0,861,0,2025-11-12 15:29:43.418
815.0,854,0,2025-11-12 15:29:44.272
819.0,860,0,2025-11-12 15:29:45.132
825.0,863,0,2025-11-12 15:29:45.995
828.0,865,0,2025-11-12 15:29:46.860
838.0,860,0,2025-11-12 15:29:47.720
848.0,859,0,2025-11-12 15:29:48.579
847.0,858,0,2025-11-12 15:29:49.437
847.0,863,0,2025-11-12 15:29:50.300
853.0,848,0,2025-11-12 15:29:51.148
855.0,830,0,2025-11-12 15:29:51.978
861.0,829,0,2025-11-12 15:29:52.807
854.0,818,0,2025-11-12 15:29:53.625
860.0,809,0,2025-11-12 15:29:54.434
863.0,809,0,2025-11-12 15:29:55.243
865.0,800,0,2025-11-12 15:29:56.043
860.0,793,0,2025-11-12 15:29:56.836
859.0,793,0,2025-11-12 15:29:57.629
858.0,792,0,2025-11-12 15:29:58.421
863.0,786,0,2025-11-12 15:29:59.207
848.0,783,0,2025-11-12 15:29:59.990
830.0,788,0,2025-11-12 15:30:00.778
829.0,791,0,2025-11-12 15:30:01.569
818.0,793,0,2025-11-12 15:30:02.362
809.0,795,0,2025-11-12 15:30:03.157
809.0,792,0,2025-11-12 15:30:03.949
800.0,797,0,2025-11-12 15:30:04.746
793.0,801,0,2025-11-12 15:30:05.547
793.0,804,0,2025-11-12 15:30:06.351
792.0,798,0,2025-11-12 15:30:07.149
786.0,792,0,2025-11-12 15:30:07.941
783.0,799,0,2025-11-12 15:30:08.740
788.0,795,0,2025-11-12 15:30:09.535
791.0,795,0,2025-11-12 15:30:10.330
793.0,789,0,2025-11-12 15:30:11.119
795.0,788,0,2025-11-12 15:30:11.907
792.0,788,0,2025-11-12 15:30:12.695
797.0,784,0,2025-11-12 15:30:13.479
801.0,777,0,2025-11-12 15:30:14.256
804.0,775,0,2025-11-12 15:30:15.031
798.0,763,0,2025-11-12 15:30:15.794
792.0,760,0,2025-11-12 15:30:16.554
799.0,762,2,2025-11-12 15:30:17.316
795.0,759,2,2025-11-12 15:30:18.075
795.0,751,0,2025-11-12 15:30:18.826
789.0,739,0,2025-11-12 15:30:19.565
788.0,703,0,2025-11-12 15:30:20.268
788.0,701,0,2025-11-12 15:30:20.969
784.0,683,0,2025-11-12 15:30:21.652
777.0,734,0,2025-11-12 15:30:22.386
775.0,795,0,2025-11-12 15:30:23.181
763.0,812,0,2025-11-12 15:30:23.993
760.0,767,0,2025-11-12 15:30:24.760
787.0,768,0,2025-11-12 15:30:25.528
734.0,774,0,2025-11-12 15:30:26.302
751.0,778,0,2025-11-12 15:30:27.080
739.0,777,0,2025-11-12 15:30:27.857
703.0,778,0,2025-11-12 15:30:28.635
701.0,779,0,2025-11-12 15:30:29.414
683.0,781,0,2025-11-12 15:30:30.195
734.0,788,0,2025-11-12 15:30:30.983
795.0,789,0,2025-11-12 15:30:31.772
812.0,788,0,2025-11-12 15:30:32.560
767.0,793,0,2025-11-12 15:30:33.353
768.0,798,0,2025-11-12 15:30:34.151
774.0,800,0,2025-11-12 15:30:34.951
778.0,800,0,2025-11-12 15:30:35.751
777.0,803,0,2025-11-12 15:30:36.554
778.0,807,0,2025-11-12 15:30:37.361
779.0,809,0,2025-11-12 15:30:38.170
781.0,811,0,2025-11-12 15:30:38.981
788.0,807,0,2025-11-12 15:30:39.788
789.0,810,0,2025-11-12 15:30:40.598
788.0,816,0,2025-11-12 15:30:41.414
793.0,818,0,2025-11-12 15:30:42.232
798.0,802,0,2025-11-12 15:30:43.034
800.0,786,0,2025-11-12 15:30:43.820
800.0,796,0,2025-11-12 15:30:44.616
803.0,801,0,2025-11-12 15:30:45.417
807.0,814,0,2025-11-12 15:30:46.231
809.0,829,0,2025-11-12 15:30:47.060
811.0,845,0,2025-11-12 15:30:47.905
807.0,849,0,2025-11-12 15:30:48.754
810.0,843,0,2025-11-12 15:30:49.597
816.0,843,0,2025-11-12 15:30:50.440
818.0,842,0,2025-11-12 15:30:51.282
802.0,841,0,2025-11-12 15:30:52.123
786.0,839,0,2025-11-12 15:30:52.962
796.0,840,0,2025-11-12 15:30:53.802
801.0,834,0,2025-11-12 15:30:54.636
814.0,830,0,2025-11-12 15:30:55.466
829.0,827,0,2025-11-12 15:30:56.293
845.0,826,0,2025-11-12 15:30:57.119
849.0,830,0,2025-11-12 15:30:57.949
843.0,831,0,2025-11-12 15:30:58.780
843.0,828,0,2025-11-12 15:30:59.608
842.0,818,0,2025-11-12 15:31:00.426
841.0,810,0,2025-11-12 15:31:01.236
839.0,810,0,2025-11-12 15:31:02.046
840.0,805,0,2025-11-12 15:31:02.851
834.0,799,0,2025-11-12 15:31:03.650
830.0,795,0,2025-11-12 15:31:04.445
827.0,797,0,2025-11-12 15:31:05.242
826.0,796,0,2025-11-12 15:31:06.038
830.0,791,0,2025-11-12 15:31:06.829
831.0,791,0,2025-11-12 15:31:07.620
828.0,793,0,2025-11-12 15:31:08.413
818.0,788,0,2025-11-12 15:31:09.201
810.0,781,1,2025-11-12 15:31:09.982
810.0,781,1,2025-11-12 15:31:10.763
805.0,781,1,2025-11-12 15:31:11.544
799.0,778,0,2025-11-12 15:31:12.322
795.0,780,0,2025-11-12 15:31:13.102
797.0,782,0,2025-11-12 15:31:13.884
796.0,782,0,2025-11-12 15:31:14.666
791.0,785,0,2025-11-12 15:31:15.451
791.0,782,0,2025-11-12 15:31:16.233
793.0,784,0,2025-11-12 15:31:17.017
788.0,787,0,2025-11-12 15:31:17.804
781.0,790,0,2025-11-12 15:31:18.594
781.0,792,0,2025-11-12 15:31:19.386
781.0,787,0,2025-11-12 15:31:20.173
778.0,792,0,2025-11-12 15:31:20.965
780.0,794,0,2025-11-12 15:31:21.759
782.0,800,0,2025-11-12 15:31:22.559
782.0,797,0,2025-11-12 15:31:23.356
785.0,802,0,2025-11-12 15:31:24.158
782.0,808,0,2025-11-12 15:31:24.966
784.0,811,0,2025-11-12 15:31:25.777
787.0,809,0,2025-11-12 15:31:26.586
790.0,812,0,2025-11-12 15:31:27.398
792.0,813,0,2025-11-12 15:31:28.211
787.0,816,0,2025-11-12 15:31:29.027
792.0,813,0,2025-11-12 15:31:29.840
794.0,811,0,2025-11-12 15:31:30.651
800.0,817,0,2025-11-12 15:31:31.468
797.0,820,0,2025-11-12 15:31:32.288
802.0,825,0,2025-11-12 15:31:33.113
808.0,818,0,2025-11-12 15:31:33.931
811.0,824,0,2025-11-12 15:31:34.755
809.0,831,0,2025-11-12 15:31:35.586
812.0,838,0,2025-11-12 15:31:36.424
