Participant ID: 14
Start time: 2025-11-16 16:03:00
End time: 2025-11-16 16:17:00

RR,ArtifactCorrectedRR,RawArtifact,ts
588,588.0,0.0,2025-11-16 16:03:00.000
737,737.0,0.0,2025-11-16 16:03:00.737
463,717.0,3.0,2025-11-16 16:03:01.454
503,714.0,3.0,2025-11-16 16:03:02.168
710,711.0,3.0,2025-11-16 16:03:02.879
478,708.0,3.0,2025-11-16 16:03:03.587
422,704.0,3.0,2025-11-16 16:03:04.291
880,701.0,3.0,2025-11-16 16:03:04.992
1007,698.0,3.0,2025-11-16 16:03:05.690
490,712.0,0.0,2025-11-16 16:03:06.402
712,671.0,0.0,2025-11-16 16:03:07.073
671,635.0,0.0,2025-11-16 16:03:07.708
635,612.0,0.0,2025-11-16 16:03:08.320
612,597.0,2.0,2025-11-16 16:03:08.917
808,585.0,2.0,2025-11-16 16:03:09.502
374,577.0,0.0,2025-11-16 16:03:10.079
577,585.0,0.0,2025-11-16 16:03:10.664
585,609.0,0.0,2025-11-16 16:03:11.273
609,632.0,0.0,2025-11-16 16:03:11.905
632,624.0,0.0,2025-11-16 16:03:12.529
624,614.0,0.0,2025-11-16 16:03:13.143
614,636.0,0.0,2025-11-16 16:03:13.779
636,658.0,0.0,2025-11-16 16:03:14.437
658,646.0,0.0,2025-11-16 16:03:15.083
646,641.0,0.0,2025-11-16 16:03:15.724
641,638.0,0.0,2025-11-16 16:03:16.362
638,639.0,0.0,2025-11-16 16:03:17.001
639,647.0,0.0,2025-11-16 16:03:17.648
647,624.0,0.0,2025-11-16 16:03:18.272
624,628.0,0.0,2025-11-16 16:03:18.900
628,606.0,0.0,2025-11-16 16:03:19.506
606,593.0,0.0,2025-11-16 16:03:20.099
593,594.0,0.0,2025-11-16 16:03:20.693
594,595.0,0.0,2025-11-16 16:03:21.288
595,608.0,0.0,2025-11-16 16:03:21.896
608,600.0,0.0,2025-11-16 16:03:22.496
600,602.0,0.0,2025-11-16 16:03:23.098
602,624.0,0.0,2025-11-16 16:03:23.722
624,672.0,0.0,2025-11-16 16:03:24.394
672,714.0,0.0,2025-11-16 16:03:25.108
714,726.0,0.0,2025-11-16 16:03:25.834
726,651.0,0.0,2025-11-16 16:03:26.485
651,647.0,0.0,2025-11-16 16:03:27.132
647,661.0,0.0,2025-11-16 16:03:27.793
661,674.0,0.0,2025-11-16 16:03:28.467
674,659.0,0.0,2025-11-16 16:03:29.126
659,662.0,0.0,2025-11-16 16:03:29.788
662,675.0,0.0,2025-11-16 16:03:30.463
675,658.0,0.0,2025-11-16 16:03:31.121
658,654.0,0.0,2025-11-16 16:03:31.775
654,658.0,0.0,2025-11-16 16:03:32.433
658,696.0,0.0,2025-11-16 16:03:33.129
696,669.0,0.0,2025-11-16 16:03:33.798
669,665.0,0.0,2025-11-16 16:03:34.463
665,679.0,0.0,2025-11-16 16:03:35.142
679,668.0,0.0,2025-11-16 16:03:35.810
668,653.0,0.0,2025-11-16 16:03:36.463
653,632.0,0.0,2025-11-16 16:03:37.095
632,612.0,0.0,2025-11-16 16:03:37.707
612,621.0,0.0,2025-11-16 16:03:38.328
621,643.0,0.0,2025-11-16 16:03:38.971
643,672.0,0.0,2025-11-16 16:03:39.643
672,702.0,0.0,2025-11-16 16:03:40.345
702,693.0,0.0,2025-11-16 16:03:41.038
693,647.0,2.0,2025-11-16 16:03:41.685
471,627.0,2.0,2025-11-16 16:03:42.312
803,633.0,0.0,2025-11-16 16:03:42.945
633,639.0,0.0,2025-11-16 16:03:43.584
639,623.0,0.0,2025-11-16 16:03:44.207
623,611.0,0.0,2025-11-16 16:03:44.818
611,598.0,0.0,2025-11-16 16:03:45.416
598,588.0,0.0,2025-11-16 16:03:46.004
588,572.0,0.0,2025-11-16 16:03:46.576
572,566.0,0.0,2025-11-16 16:03:47.142
566,559.0,0.0,2025-11-16 16:03:47.701
559,553.0,0.0,2025-11-16 16:03:48.254
553,555.0,0.0,2025-11-16 16:03:48.809
555,563.0,0.0,2025-11-16 16:03:49.372
563,595.0,0.0,2025-11-16 16:03:49.967
595,614.0,0.0,2025-11-16 16:03:50.581
614,634.0,0.0,2025-11-16 16:03:51.215
