Participant ID: 20
Start time: 2025-11-19 15:26:00
End time: 2025-11-19 15:40:00

RR,ArtifactCorrectedRR,RawArtifact,ts
706.0,706,0,2025-11-19 15:26:00.000
596.0,740,2,2025-11-19 15:26:00.740
716.0,747,2,2025-11-19 15:26:01.487
1637.0,754,2,2025-11-19 15:26:02.241
823.0,762,2,2025-11-19 15:26:03.003
749.0,769,2,2025-11-19 15:26:03.772
700.0,749,0,2025-11-19 15:26:04.521
711.0,700,0,2025-11-19 15:26:05.221
425.0,711,0,2025-11-19 15:26:05.932
275.0,700,3,2025-11-19 15:26:06.632
706.0,706,0,2025-11-19 15:26:07.338
752.0,752,0,2025-11-19 15:26:08.090
822.0,822,0,2025-11-19 15:26:08.912
820.0,820,0,2025-11-19 15:26:09.732
758.0,758,0,2025-11-19 15:26:10.490
779.0,779,0,2025-11-19 15:26:11.269
839.0,839,0,2025-11-19 15:26:12.108
860.0,860,0,2025-11-19 15:26:12.968
810.0,810,0,2025-11-19 15:26:13.778
787.0,787,0,2025-11-19 15:26:14.565
864.0,864,0,2025-11-19 15:26:15.429
801.0,801,0,2025-11-19 15:26:16.230
803.0,803,0,2025-11-19 15:26:17.033
823.0,823,0,2025-11-19 15:26:17.856
813.0,813,0,2025-11-19 15:26:18.669
874.0,874,0,2025-11-19 15:26:19.543
875.0,875,0,2025-11-19 15:26:20.418
834.0,834,0,2025-11-19 15:26:21.252
778.0,778,0,2025-11-19 15:26:22.030
809.0,809,0,2025-11-19 15:26:22.839
780.0,780,0,2025-11-19 15:26:23.619
791.0,791,0,2025-11-19 15:26:24.410
816.0,816,0,2025-11-19 15:26:25.226
831.0,831,0,2025-11-19 15:26:26.057
757.0,757,0,2025-11-19 15:26:26.814
725.0,725,0,2025-11-19 15:26:27.539
715.0,715,0,2025-11-19 15:26:28.254
763.0,763,0,2025-11-19 15:26:29.017
749.0,749,0,2025-11-19 15:26:29.766
750.0,750,0,2025-11-19 15:26:30.516
740.0,740,0,2025-11-19 15:26:31.256
761.0,761,0,2025-11-19 15:26:32.017
708.0,708,0,2025-11-19 15:26:32.725
726.0,726,0,2025-11-19 15:26:33.451
761.0,761,0,2025-11-19 15:26:34.212
787.0,787,0,2025-11-19 15:26:34.999
732.0,732,0,2025-11-19 15:26:35.731
745.0,745,0,2025-11-19 15:26:36.476
782.0,782,0,2025-11-19 15:26:37.258
782.0,782,0,2025-11-19 15:26:38.040
766.0,766,0,2025-11-19 15:26:38.806
810.0,810,0,2025-11-19 15:26:39.616
831.0,831,0,2025-11-19 15:26:40.447
808.0,808,0,2025-11-19 15:26:41.255
