video1,label1,video2,label2,video3,label3,video4,label4
4171487-uhd_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated
4171487-uhd_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,AI Generated
4171487-uhd_3840_2160_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated
4171487-uhd_3840_2160_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated
4171487-uhd_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated
4171487-uhd_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,Human Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,AI Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,AI Generated
5768645-uhd_3840_2160_25fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,Human Generated
11946387_3840_2160_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated
11946387_3840_2160_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated
11946387_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated
11946387_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated
11946387_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated
11946387_3840_2160_30fps.mp4,Human Generated,18840567-hd_1920_1080_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,Human Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,Human Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,11946387_3840_2160_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,Human Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated
18840567-hd_1920_1080_30fps.mp4,Human Generated,11946387_3840_2160_30fps.mp4,Human Generated,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4171487-uhd_3840_2160_30fps.mp4,AI Generated
